"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"06/14/2014","Salsa Roja, 8 oz","Breakfast","0.5","Each","35","0.50","1.50","6.50","n/a","0","540"
"06/14/2014","Beans, Pinto, Cooked, No Salt","Breakfast","0.5","Cup","122","0.55","7.66","22.29","0.29","0","0.85"
"06/14/2014","Chips, Tortilla, White Corn","Lunch","12.0","Pieces","120","6","1.71","12.86","0","0","68.57"
"06/14/2014","Salsa Autentica","Lunch","0.5","Cup","40","0","0","8","0","0","1040"
"06/14/2014","Beer","Lunch","16.0","Fluid ounces","204","0","2.18","16.85","0","0","18.99"
"06/14/2014","Chicken, Breast, Grilled","Lunch","8.0","Ounces","248","8","44","0","0","130","373.33"
"06/14/2014","Cheese, Cheddar, Extra Sharp","Lunch","1.0","Ounce","110","9","7","0","0","30","180"
"06/14/2014","Salad, Field Greens","Lunch","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"06/14/2014","Sauce, Mole","Lunch","1.0","Tablespoon","80","5.33","0.67","8.67","5.33","0","86.67"
"06/14/2014","Fruit Salad, In Water, Canned","Dinner","1.0","Cup","74","0.17","0.86","19.28","0","0","7.35"
"06/14/2014","Salad, Potato","Dinner","1.0","Cup","328","17.36","4.40","38.95","0","172.73","944.24"
"06/14/2014","Salad, Pasta, Caesar","Dinner","0.5","Cup","95","1","3.50","18","2.50","0","260"
"06/14/2014","Sausage, Chorizo, Pork & Beef, Link","Dinner","1.5","Each","410","34.44","21.69","1.67","0","79.20","1111.50"
"06/14/2014","Pork, Carnitas, w/ Citrus Garlic & Seasonings","Dinner","6.0","Ounces","280","18","26","4","4","90","840"
"06/14/2014","Quinoa","Dinner","0.125","Cup","80","1.25","3","15","n/a","n/a","n/a"
"06/14/2014","Chili, w/ Beans","Dinner","1.5","Cups","430","21.8","21.93","45.73","4.57","65.28","2004.48"
"06/14/2014","Cupcake, Red Velvet, w/ Buttercreme Icing","Dinner","2.0","Each","420","24","2","50","38","50","250"
"06/14/2014","Beer","Dinner","16.0","Fluid ounces","204","0","2.18","16.85","0","0","18.99"
"06/14/2014","Cream, Half & Half","Snacks","2.0","Tablespoons","39","3.45","0.89","1.29","0.5","11.10","12.30"
"06/14/2014","Beer","Snacks","8.0","Fluid ounces","102","0","1.9","8.43","0","0","9.49"
"06/14/2014","Beef, Jerky, Original","Snacks","1.0","Ounce","80","1.50","15","3","2","35","720"
"06/14/2014","Chips, Potato, Backyard Barbeque","Snacks","1.0","Ounce","150","9","2","15","1","0","170"
"06/14/2014","Guacamole, Med","Snacks","4.0","Tablespoons","108","9.20","1.60","7.40","0.60","0","239"
"06/13/2014","Egg Whites, Large, Ckd","Breakfast","3.0","Each","75","0","17.74","1.13","0","0","226.45"
"06/13/2014","Vegetables, Stir Fry","Breakfast","6.0","Ounces","50","0","4","10","2","0","40"
"06/13/2014","Tomatoes, Fresh, Med","Breakfast","1.0","Each","22","0.25","1.8","4.82","3.23","0","6.15"
"06/13/2014","Bread, Whole Wheat","Breakfast","2.0","Slices","138","1.88","7.25","23.12","3.12","0","264.32"
"06/13/2014","Butter, Unsalted","Breakfast","2.0","Teaspoons","68","7.68","0.8","0.1","0.1","20.35","1.4"
"06/13/2014","Fruit Salad, In Water, Canned","Breakfast","1.0","Cup","74","0.17","0.86","19.28","0","0","7.35"
"06/13/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/13/2014","Rice, White, Medium Grain, Cooked","Lunch","0.75","Cup","181","0.29","3.32","39.88","0","0","0"
"06/13/2014","Black Beans","Lunch","0.75","Cup","165","0","10.50","30","3","0","645"
"06/13/2014","Potatoes, Red, Baby, Cooked","Lunch","0.5","Cup","76","0.13","1.96","16.65","1.22","0","10.20"
"06/13/2014","Guacamole, Med","Lunch","4.0","Tablespoons","108","9.20","1.60","7.40","0.60","0","239"
"06/13/2014","Chicken Breast, Skinless, Cooked","Lunch","4.0","Ounces","187","4","35.16","0","0","96","84"
"06/13/2014","Pico De Gallo","Lunch","0.25","Cup","20","0","0","6","4","0","300"
"06/13/2014","Oil, Sesame","Lunch","1.0","Teaspoon","40","4.53","0","0","0","0","0"
"06/13/2014","Chicken, Breast, Grilled","Dinner","4.0","Ounces","124","4","22","0","0","65","186.67"
"06/13/2014","Cheese, Blue, Cube","Dinner","1.0","Ounce","100","8.15","6.7","0.66","0.14","21.26","395.48"
"06/13/2014","Salad, Field Greens","Dinner","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"06/13/2014","Dressing, Balsamic Vinaigrette","Dinner","2.0","Tablespoons","100","11","0","2","2","0","60"
"06/13/2014","Nectarines, Med, Fresh","Snacks","1.0","Each","62","0.45","1.51","14.98","11.20","0","0"
"06/13/2014","Watermelon, Diced, Fresh","Snacks","2.0","Cups","91","0.46","1.85","22.95","18.85","0","3.4"
"06/13/2014","Cookie, Macaroon, Homemade","Snacks","2.0","Each","194","6.10","1.73","34.66","33.91","0","118.56"
"06/13/2014","Ginger Chew","Snacks","6.0","Pieces","120","0","0","30","30","0","0"
"06/13/2014","Very Cherry Berry Blend","Snacks","1.0","Cup","90","0","1","22","16","0","5"
"06/13/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","19.52","114.68"
"06/13/2014","King's Delicious Nuts","Snacks","1.0","Package","70","6","3","2","0","0","95"
"06/13/2014","Toasted Chips","Snacks","1.0","Package","100","4","1","15","2","0","190"
"06/12/2014","Spinach And Kale Yogurt Dip","Breakfast","16.0","Tablespoons","240","20","8","16","8","40","1200"
"06/12/2014","Crackers, stone ground wheat","Breakfast","6.0","Pieces","180","5.25","3","28.50","0","0","225"
"06/12/2014","Snickers","Lunch","2.0","Servings","500","24","8","66","54","10","240"
"06/12/2014","Gatorade Lime","Lunch","1.667","Servings","133","0","n/a","n/a","n/a","n/a","n/a"
"06/12/2014","Salad, Field Greens","Dinner","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"06/12/2014","Salad Dressing, Blue Cheese","Dinner","1.0","Tablespoon","71","7.67","0.21","0.69","0.52","4.65","139.50"
"06/12/2014","Steak, New York Strip, 10 oz","Dinner","1.0","Each","545","35","58","0","0","121","394"
"06/12/2014","Bread, French Baguette","Dinner","3.0","Ounces","204","0.60","7.50","41.98","0","0","455.74"
"06/12/2014","French Fries","Dinner","1.0","Each","400","18","7","54","0","0","245"
"06/12/2014","Ketchup","Dinner","0.25","Cup","58","0.19","1.4","15.9","13.66","0","668.40"
"06/12/2014","Mustard, Yellow, Prepared","Dinner","0.25","Cup","40","2.41","2.62","3.20","0.52","0","681"
"06/12/2014","Cole Slaw, Fast Food","Dinner","0.5","Cup","101","6.54","0.63","9.83","8.5","2.64","133.98"
"06/12/2014","Salad, Potato","Dinner","0.5","Cup","164","8.68","2.20","19.48","0","86.36","472.12"
"06/12/2014","Butter, Unsalted","Dinner","1.0","Tablespoon","102","11.52","0.12","0.1","0.1","30.53","1.56"
"06/12/2014","Cashew macadamia Trek Mix","Snacks","7.0","Servings","980","63","21","84","n/a","n/a","n/a"
"06/12/2014","Yogurt, Total, 2%","Snacks","2.0","Cups","340","9","46","18","18","30","150"
"06/12/2014","Blueberries","Snacks","1.0","Cup","84","0.49","1.10","21.45","14.74","0","1.48"
"06/12/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"06/12/2014","Very Cherry Berry Blend","Snacks","1.0","Cup","90","0","1","22","16","0","5"
"06/12/2014","Milk, 2%, w/ Vitamin A & D","Snacks","1.0","Cup","122","4.83","8.5","11.71","12.35","19.52","114.68"
"06/11/2014","Pancakes, Homemade, 4","Breakfast","3.0","Each","259","11.6","7.30","32.26","0","67.26","500.46"
"06/11/2014","Syrup, Maple","Breakfast","1.0","Tablespoon","52","0.4","0","13.42","11.90","0","1.80"
"06/11/2014","Butter, Unsalted","Breakfast","1.0","Teaspoon","34","3.84","0.4","0","0","10.18","0.52"
"06/11/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/11/2014","Peach, Large","Breakfast","0.25","Each","17","0.11","0.40","4.17","3.67","0","0"
"06/11/2014","Apple, Large","Lunch","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"06/11/2014","Cookie, Chocolate Chip, Soft","Lunch","1.0","Each","68","3.9","0.74","9.76","5.68","0","40.80"
"06/11/2014","Dressing, Balsamic Vinaigrette","Dinner","1.0","Tablespoon","50","5.50","0","1","1","0","30"
"06/11/2014","Egg, Large","Dinner","0.5","Each","36","2.48","3.14","0.20","0.19","105.75","35"
"06/11/2014","Cole Slaw, Fast Food","Dinner","0.5","Cup","101","6.54","0.63","9.83","8.5","2.64","133.98"
"06/11/2014","Fruit Salad, In Water, Canned","Dinner","0.5","Cup","37","0.9","0.43","9.64","0","0","3.67"
"06/11/2014","Salad, Field Greens","Dinner","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"06/11/2014","Ribeye Steak","Dinner","10.0","Ounces","675","52.50","50","0","0","150","150"
"06/11/2014","French Fries","Dinner","0.5","Each","200","9","3.50","27","0","0","122.50"
"06/11/2014","Vegetables, Mixed, Canned","Dinner","0.5","Cup","40","0.20","2.11","7.55","1.96","0","121.44"
"06/11/2014","Ketchup","Dinner","0.25","Cup","58","0.19","1.4","15.9","13.66","0","668.40"
"06/11/2014","Mustard, Yellow, Prepared","Dinner","0.25","Cup","40","2.41","2.62","3.20","0.52","0","681"
"06/11/2014","Cream, Half & Half","Snacks","2.0","Tablespoons","39","3.45","0.89","1.29","0.5","11.10","12.30"
"06/10/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/10/2014","Egg, Scrambled, Large","Breakfast","2.0","Each","204","14.90","13.53","2.68","2.11","429.44","341.60"
"06/10/2014","Daves Killer Bread","Breakfast","1.0","Serving","110","1.50","6","22","4","0","170"
"06/10/2014","Banana, Medium, 7 - 7 7/8 Long","Breakfast","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"06/10/2014","Beer","Lunch","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
"06/10/2014","Bun, Hamburger, Plain","Lunch","1.0","Each","120","1.86","4.8","21.26","2.69","0","205.97"
"06/10/2014","Chicken, Fried, Breast, w/ Skin, Fried in Flour","Lunch","6.0","Ounces","377","15.8","54.13","2.79","0","151.30","129.20"
"06/10/2014","Dressing, Mayonnaise","Lunch","2.0","Tablespoons","180","20","0","0","0","10","170"
"06/10/2014","Macaroni & Cheese","Lunch","1.0","Cup","240","10","9","28","3","15","750"
"06/10/2014","Ground Beef, 80% Lean","Dinner","6.0","Ounces","461","30.29","43.77","0","0","154.70","127.50"
"06/10/2014","Bread, French Baguette","Dinner","2.5","Ounces","170","0.50","6.25","35","0","0","380"
"06/10/2014","Cheese, Cheddar, Extra Sharp","Dinner","1.0","Ounce","110","9","7","0","0","30","180"
"06/10/2014","Corn, Yellow, Sweet, Cob, Cooked","Dinner","1.0","Each","74","1.16","2.63","16.15","3.50","0","0.77"
"06/10/2014","Onion, White, Chopped","Dinner","0.25","Cup","16","0.4","0.44","3.74","1.70","0","1.60"
"06/10/2014","Asparagus, Spears, Cooked","Dinner","6.0","Each","20","0.20","2.16","3.70","1.17","0","12.60"
"06/10/2014","Beer","Dinner","8.0","Fluid ounces","102","0","1.9","8.43","0","0","9.49"
"06/10/2014","Peach, Large","Dinner","1.0","Each","68","0.44","1.59","16.70","14.68","0","0"
"06/10/2014","Nuts, Pecan","Dinner","0.125","Cup","105","11","1.50","2","0.50","0","0"
"06/10/2014","Oil, Coconut","Dinner","1.0","Teaspoon","40","4.67","0","0","0","0","0"
"06/10/2014","Sugar, Brown","Dinner","1.0","Teaspoon","17","0","0.1","4.51","4.46","0","1.29"
"06/10/2014","Ice Cream, Vanilla","Dinner","0.5","Cup","137","7.26","2.31","15.58","14.1","29.4","52.80"
"06/10/2014","Drink, Sports, Lemon Lime","Snacks","1.25","Bottles","198","0","0","48.95","39.89","0","296.89"
"06/10/2014","Nectarines, Med, Fresh","Snacks","1.0","Each","62","0.45","1.51","14.98","11.20","0","0"
"06/10/2014","Apple, Large","Snacks","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"06/10/2014","Salad; Pasta & Broccoli Slaw; 2014/06/09","Snacks","0.5","Serving","96","2.28","3.28","15.95","3.67","0","117.81"
"06/10/2014","Matcha Green Tea Fraedo","Snacks","1.0","Serving","260","6","7","45","n/a","25","210"
"06/10/2014","Wine, White","Snacks","6.0","Fluid ounces","145","0","0.12","4.59","1.69","0","8.82"
"06/10/2014","Wine, Red","Snacks","9.0","Fluid ounces","225","0","0.19","6.91","1.64","0","10.58"
"06/10/2014","Beer","Snacks","16.0","Fluid ounces","204","0","2.18","16.85","0","0","18.99"
"06/10/2014","Wine, Dessert, Sweet","Snacks","2.0","Fluid ounces","93","0","0.12","7.94","4.51","0","5.22"
"06/10/2014","Tiny Twists Pretzels","Snacks","25.0","Pieces","162","1.47","2.94","33.82","1.47","0","661.76"
"06/10/2014","Cheese, Brie, Cube","Snacks","0.5","Ounce","47","3.88","2.90","0.6","0.6","14","88.6"
"06/10/2014","Bread, French Baguette","Snacks","0.5","Ounce","34","0.10","1.25","7","0","0","76"
"06/09/2014","Apple, Large","Breakfast","1.0","Each","116","0.38","0.58","30.80","23.17","0","2.23"
"06/09/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"06/09/2014","Egg, Scrambled, Large","Breakfast","2.0","Each","204","14.90","13.53","2.68","2.11","429.44","341.60"
"06/09/2014","Daves Killer Bread","Breakfast","1.0","Serving","110","1.50","6","22","4","0","170"
"06/09/2014","Butter, Unsalted","Breakfast","1.0","Teaspoon","34","3.84","0.4","0","0","10.18","0.52"
"06/09/2014","Tuna Salad; 2014/06/09","Lunch","1.0","Serving","140","8.6","14.27","2.37","0.51","23.75","323.84"
"06/09/2014","Salad; Pasta & Broccoli Slaw; 2014/06/09","Lunch","1.0","Serving","192","4.57","6.55","31.90","7.34","0","235.61"
"06/09/2014","Daves Killer Bread","Lunch","1.0","Serving","110","1.50","6","22","4","0","170"
"06/09/2014","Abalone, Fried","Dinner","5.0","Ounces","267","9.67","27.33","15.67","n/a","133.33","836.67"
"06/09/2014","French Fries","Dinner","1.0","Each","400","18","7","54","0","0","245"
"06/09/2014","Avocado","Dinner","0.25","Each","80","7.37","1","4.29","0.33","0","3.52"
"06/09/2014","Peppers, Baby Bell, Sweet","Dinner","1.5","Each","13","0","0.50","2.50","1.50","0","0"
"06/09/2014","Tomatoes, Cherry","Dinner","5.0","Each","15","0.17","0.75","3.33","2.24","0","4.25"
"06/09/2014","Cucumber, Fresh, Med","Dinner","0.5","Cup","8","0.6","0.34","1.89","0.87","0","1.4"
"06/09/2014","Greens, Arugula, Chopped","Dinner","1.0","Cup","5","0.13","0.52","0.73","0.41","0","5.40"
"06/09/2014","Dressing, Red Wine & Olive Oil","Dinner","1.0","Tablespoon","70","7.50","0","0","0","0","95"
"06/09/2014","Wine, White","Dinner","5.0","Fluid ounces","121","0","0.10","3.82","1.41","0","7.35"
"06/09/2014","Nectarines, Med, Fresh","Snacks","2.0","Each","125","0.91","3.1","29.96","22.41","0","0"
"06/09/2014","Beer","Snacks","12.0","Fluid ounces","153","0","1.64","12.64","0","0","14.24"
"06/09/2014","Watermelon, Diced, Fresh","Snacks","1.0","Cup","46","0.23","0.93","11.48","9.42","0","1.52"
"06/09/2014","Tiny Twists Pretzels","Snacks","30.0","Pieces","194","1.76","3.53","40.59","1.76","0","794.12"
"06/09/2014","Beer","Snacks","8.0","Fluid ounces","102","0","1.9","8.43","0","0","9.49"
"06/09/2014","Wine, White","Snacks","5.0","Fluid ounces","121","0","0.10","3.82","1.41","0","7.35"
"06/09/2014","Petit Ecolier Extra-dark Chocolate","Snacks","1.0","Piece","65","3.50","1","7.50","3.50","2.50","25"
"06/09/2014","Peanut Butter Cups (Dark Chocolate)","Snacks","1.0","Piece","67","4","1","7.33","6","0","36.67"
"06/13/2014","Walking","Exercise","20","minutes","62.7091"
"06/12/2014","Rock Climbing","Exercise","20","minutes","160.567"
"06/12/2014","Hiking","Exercise","390","minutes","2408.51"
"06/10/2014","Bicycling","Exercise","220","minutes","2445.56"
"06/09/2014","Hiking","Exercise","135","minutes","833.714"
