"Date","Name","Type","Quantity","Units","Calories","Fat (g)","Protein (g)","Carbohydrates (g)","Sugars (g)","Cholesterol (mg)","Sodium (mg)"
"07/09/2014","Salad, Field Greens","Lunch","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"07/09/2014","Papaya, Mashed","Lunch","0.25","Cup","22","0.8","0.35","5.64","3.39","0","1.73"
"07/09/2014","Sauce, Chili, Hot","Lunch","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/09/2014","Peanuts, Raw","Lunch","1.0","Tablespoon","52","4.49","2.35","1.47","0.36","0","1.64"
"07/09/2014","Oil, Olive, Extra Virgin","Lunch","1.0","Tablespoon","120","14","0","0","0","0","0"
"07/09/2014","Carrots, Chopped","Lunch","0.5","Cup","26","0.15","0.60","6.13","3.3","0","44.16"
"07/09/2014","Premium Black Angus Beef Tri-tip Steak","Dinner","9.0","Ounces","405","22.50","51.75","n/a","n/a","135","157.50"
"07/09/2014","Sauce, Worcestershire","Dinner","1.0","Tablespoon","13","0","0","3.31","1.71","0","166.60"
"07/09/2014","Balsamic Vinegar, White","Dinner","0.5","Tablespoon","3","0","0","1","1","0","2.50"
"07/09/2014","Honey, Light","Dinner","0.5","Tablespoon","32","0","0.3","8.65","8.62","0","0.42"
"07/09/2014","Corn, Yellow, Sweet, Kernels","Dinner","1.0","Cup","120","1.50","4.50","28.49","11.99","0","14.99"
"07/09/2014","Tomatoes, Cherry","Dinner","10.0","Each","31","0.34","1.50","6.66","4.47","0","8.50"
"07/09/2014","Yogurt, Total, 0%","Dinner","6.0","Ounces","100","0","18","7","7","0","65"
"07/09/2014","Blueberries","Dinner","0.75","Cup","63","0.37","0.82","16.8","11.6","0","1.11"
"07/09/2014","Strawberries, Whole","Dinner","1.5","Cups","69","0.65","1.45","16.59","10.56","0","2.16"
"07/09/2014","Nuts, Pecan","Dinner","0.25","Cup","210","22","3","4","1","0","0"
"07/09/2014","Honey, Light","Dinner","1.0","Tablespoon","64","0","0.6","17.30","17.25","0","0.84"
"07/09/2014","Butter, Salted","Dinner","0.5","Tablespoon","51","5.76","0.6","0","0","15.27","40.90"
"07/09/2014","Snickers 1.86oz Bar","Snacks","1.0","Serving","250","12.50","4","33","27","5","120"
"07/09/2014","Grapes, Red European","Snacks","3.0","Cups","313","0.72","3.26","81.99","70.12","0","9.6"
"07/08/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/08/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/08/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/08/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/08/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/08/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/08/2014","Greek Yogurt (non fat)","Lunch","4.0","Cups","480","0","88","36","36","60","320"
"07/08/2014","Blackberries","Lunch","2.5","Cups","155","1.76","5","34.60","17.57","0","3.60"
"07/08/2014","Pasta/Linguine/TJ","Dinner","2.5","Cups","475","3.75","17.50","85","2.50","0","25"
"07/08/2014","Three Cheese Pasta Sauce","Dinner","2.0","Cups","320","20","16","24","4","20","2000"
"07/08/2014","Beets, Whole 2","Dinner","1.0","Each","20","0","0.50","4","3.50","0","15"
"07/08/2014","Cheese, Goat, Semi Soft","Dinner","1.0","Ounce","103","8.46","6.12","0.72","0.72","22.40","146"
"07/08/2014","Watermelon, Diced, Fresh","Dinner","1.5","Cups","68","0.34","1.39","17.21","14.14","0","2.28"
"07/08/2014","Juice, Lime","Dinner","1.0","Tablespoon","4","0.1","0.6","1.27","0.26","0","0.30"
"07/08/2014","Mustard, Spicy Brown","Dinner","0.5","Teaspoon","3","0","0","0","0","0","40"
"07/08/2014","Honey, Light","Dinner","0.5","Teaspoon","11","0","0.1","2.88","2.87","0","0.14"
"07/08/2014","Oil, Olive, Extra Virgin","Dinner","0.333","Tablespoon","40","4.66","0","0","0","0","0"
"07/08/2014","Greens, Arugula, Chopped","Dinner","2.0","Cups","10","0.26","1.3","1.46","0.82","0","10.80"
"07/08/2014","Nectarines, Med, Fresh","Snacks","1.0","Each","62","0.45","1.51","14.98","11.20","0","0"
"07/08/2014","Soymilk Vanilla Organic","Snacks","1.0","Cup","100","3.50","7","9","7","n/a","95"
"07/08/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"07/08/2014","Ginger Chew","Snacks","2.0","Pieces","40","0","0","10","10","0","0"
"07/08/2014","dolma","Snacks","10.0","Pieces","350","n/a","n/a","n/a","n/a","n/a","n/a"
"07/07/2014","Coffee, Brewed","Breakfast","2.0","Pints","9","0.19","1.14","0","0","0","18.94"
"07/07/2014","Egg, Large","Breakfast","1.0","Each","72","4.97","6.29","0.39","0.39","211.50","70"
"07/07/2014","Egg Whites","Breakfast","0.5","Cup","67","0","13.33","0","0","0","200"
"07/07/2014","Milk, 2%, w/ Vitamin A & D","Breakfast","1.0","Tablespoon","8","0.30","0.50","0.73","0.77","1.22","7.17"
"07/07/2014","Bread, Homestyle Cracked Wheat","Breakfast","1.0","Slice","80","1","3","16","2","0","160"
"07/07/2014","Sauce, Chili, Hot","Breakfast","1.0","Tablespoon","15","0","0","3","3","0","180"
"07/07/2014","Hummus","Lunch","0.333","Cup","124","7.16","5.89","10.66","0","0","282.70"
"07/07/2014","Bread, Pita, White","Lunch","1.0","Each","165","0.72","5.46","33.42","0.78","0","321.60"
"07/07/2014","Chicken, Breast, Grilled","Lunch","6.0","Ounces","186","6","33","0","0","97.50","280"
"07/07/2014","Chicken, Thigh, Skinless, Cooked","Lunch","6.0","Ounces","303","13.80","42","0","0","225","180"
"07/07/2014","Salad, Field Greens","Lunch","2.0","Cups","44","0.19","3.47","8.93","4.44","0","72.11"
"07/07/2014","Dressing, Balsamic Vinaigrette","Lunch","1.0","Tablespoon","50","5.50","0","1","1","0","30"
"07/07/2014","Hairicots Verts Green Beans (85g)","Dinner","1.5","Cups","60","0","4","12","6","0","10"
"07/07/2014","Mini Meatloaf; eMeals; 2014/07/07","Dinner","3.0","Servings","676","29.83","79.50","14.29","6.45","382.73","934.88"
"07/07/2014","Mashed Potatoes; 2014/07/07","Dinner","2.0","Servings","212","7.14","4.37","30.53","3.61","2.3","85.38"
"07/07/2014","Banana, Small, 6 to 6 7/8 Long","Snacks","1.0","Each","90","0.33","1.10","23.7","12.35","0","1.1"
"07/07/2014","Soymilk Vanilla Organic","Snacks","1.0","Cup","100","3.50","7","9","7","n/a","95"
"07/07/2014","Nectarines, Med, Fresh","Snacks","2.0","Each","125","0.91","3.1","29.96","22.41","0","0"
"07/07/2014","Strawberries, Whole","Snacks","3.0","Cups","138","1.30","2.89","33.18","21.12","0","4.32"
"07/07/2014","Banana, Medium, 7 - 7 7/8 Long","Snacks","1.0","Each","105","0.39","1.29","26.95","14.43","0","1.18"
"07/13/2014","Home Repair","Exercise","150","minutes","646.777"
"07/13/2014","Walking","Exercise","40","minutes","123.196"
"07/12/2014","Yoga","Exercise","180","minutes","332.628"
"07/11/2014","Walking","Exercise","30","minutes","92.3968"
"07/11/2014","Walking","Exercise","20","minutes","61.5978"
"07/11/2014","Stairmaster","Exercise","30","minutes","332.628"
"07/10/2014","Weight Lifting","Exercise","30","minutes","73.9174"
"07/10/2014","Rock Climbing","Exercise","30","minutes","240.232"
"07/10/2014","Walking","Exercise","30","minutes","92.3968"
"07/09/2014","Running","Exercise","60","minutes","794.136"
"07/09/2014","Stairmaster","Exercise","30","minutes","332.628"
"07/09/2014","Walking","Exercise","20","minutes","61.5978"
"07/08/2014","Walking","Exercise","50","minutes","153.995"
"07/08/2014","Walking","Exercise","20","minutes","61.5978"
"07/08/2014","Walking","Exercise","50","minutes","153.995"
"07/07/2014","Weight Lifting","Exercise","30","minutes","73.9174"
"07/07/2014","Rock Climbing","Exercise","30","minutes","240.232"
